No.,Title,Artist,Year,duration_sec
97,You Got Lucky,Tom Petty and the Heartbreakers,1983,217.96
98,Don't Cry,Asia,1983,210.4
99,Breaking Us in Two,Joe Jackson,1983,292.896
100,Fall in Love with Me,"Earth, Wind & Fire",1983,352.066
1,When Doves Cry,Prince,1984,354.133
2,What's Love Got to Do with It,Tina Turner,1984,226.88
3,Say Say Say,Paul McCartney and Michael Jackson,1984,229.974
4,Footloose,Kenny Loggins,1984,220.706
5,Against All Odds (Take a Look at Me Now),Phil Collins,1984,206.36
6,Jump,Van Halen,1984,239.56
7,Hello,Lionel Richie,1984,251.106
8,Owner of a Lonely Heart,Yes,1984,268.506
9,Ghostbusters,Ray Parker Jr.,1984,245.253
10,Karma Chameleon,Culture Club,1984,252.76
11,Missing You,John Waite,1984,269.76
12,All Night Long (All Night),Lionel Richie,1984,385.693
13,Let's Hear It for the Boy,Deniece Williams,1984,262.44
14,Dancing in the Dark,Bruce Springsteen,1984,241.306
15,Girls Just Want to Have Fun,Cyndi Lauper,1984,238.266
16,The Reflex,Duran Duran,1984,266.933
17,Time After Time,Cyndi Lauper,1984,241.333
18,Jump (For My Love),The Pointer Sisters,1984,267.226
19,Talking in Your Sleep,The Romantics,1984,236.625
20,Self Control,Laura Branigan,1984,246.44
21,Let's Go Crazy,Prince & the Revolution,1984,279.24
22,Say It Isn't So,Daryl Hall & John Oates,1984,257.466
23,Hold Me Now,Thompson Twins,1984,286.226
24,Joanna,Kool & the Gang,1984,238.893
25,I Just Called to Say I Love You,Stevie Wonder,1984,262.24
26,Somebody's Watching Me,Rockwell,1984,293.933
27,Break My Stride,Matthew Wilder,1984,184.48
28,99 Luftballons,Nena,1984,231.466
29,I Can Dream About You,Dan Hartman,1984,249.56
30,The Glamorous Life,Sheila E.,1984,543.56
31,Oh Sherrie,Steve Perry,1984,229.346
32,Stuck on You,Lionel Richie,1984,195.133
33,I Guess That's Why They Call It the Blues,Elton John,1984,285.333
34,She Bop,Cyndi Lauper,1984,229.266
35,Borderline,Madonna,1984,238.36
36,Sunglasses at Night,Corey Hart,1984,320.573
37,Eyes Without a Face,Billy Idol,1984,299.24
38,Here Comes the Rain Again,Eurythmics,1984,294.586
39,Uptown Girl,Billy Joel,1984,197.706
40,Sister Christian,Night Ranger,1984,302.933
41,Drive,The Cars,1984,234.493
42,Twist of Fate,Olivia Newton-John,1984,218.226
43,Union of the Snake,Duran Duran,1984,264.133
44,The Heart of Rock & Roll,Huey Lewis and the News,1984,304.92
45,Hard Habit to Break,Chicago,1984,284.906
46,The Warrior,Scandal,1984,240.826
47,If Ever You're in My Arms Again,Peabo Bryson,1984,251.306
48,Automatic,The Pointer Sisters,1984,287.013
49,Let the Music Play,Shannon,1984,214.379
50,To All the Girls I've Loved Before,Julio Iglesias and Willie Nelson,1984,206.66
51,Caribbean Queen (No More Love on the Run),Billy Ocean,1984,244.426
52,That's All,Genesis,1984,264.426
53,Running with the Night,Lionel Richie,1984,249.666
54,Sad Songs (Say So Much),Elton John,1984,295.533
55,I Want a New Drug,Huey Lewis and the News,1984,211.84
56,Islands in the Stream,Kenny Rogers and Dolly Parton,1984,257.44
57,Love Is a Battlefield,Pat Benatar,1984,245.4
58,Infatuation,Rod Stewart,1984,314.533
59,Almost Paradise,Mike Reno and Ann Wilson,1984,219.642
60,Legs,ZZ Top,1984,273.906
61,State of Shock,The Jacksons,1984,271
62,Love Somebody,Rick Springfield,1984,214.751
63,Miss Me Blind,Culture Club,1984,269.893
64,If This Is It,Huey Lewis and the News,1984,233.16
65,You Might Think,The Cars,1984,184.717
66,Lucky Star,Madonna,1984,337.84
67,Cover Me,Bruce Springsteen,1984,205.986
68,Cum on Feel the Noize,Quiet Riot,1984,290.96
69,Breakdance,Irene Cara,1984,207.24
70,Adult Education,Daryl Hall & John Oates,1984,323.613
71,They Don't Know,Tracey Ullman,1984,179.626
72,An Innocent Man,Billy Joel,1984,318
73,Cruel Summer,Bananarama,1984,215.326
74,Dance Hall Days,Wang Chung,1984,240.8
75,Give It Up,KC and the Sunshine Band,1984,254.24
76,I'm So Excited,The Pointer Sisters,1984,230.64
77,I Still Can't Get Over Loving You,Ray Parker Jr.,1984,247.653
78,Thriller,Michael Jackson,1984,357.266
79,Holiday,Madonna,1984,231.56
80,Breakin'... There's No Stopping Us,Ollie & Jerry,1984,276.773
81,Nobody Told Me,John Lennon,1984,214.28
82,Church of the Poison Mind,Culture Club,1984,212.146
83,Think of Laura,Christopher Cross,1984,203.306
84,Time Will Reveal,DeBarge,1984,259.493
85,Wrapped Around Your Finger,The Police,1984,313.706
86,Pink Houses,John Cougar Mellencamp,1984,283.666
87,Round and Round,Ratt,1984,265.893
88,Head over Heels,The Go-Go's,1984,217.6
89,The Longest Time,Billy Joel,1984,217.906
90,Tonight,Kool & the Gang,1984,231.84
91,Got a Hold on Me,Christine McVie,1984,232.906
92,Dancing in the Sheets,Shalamar,1984,245.36
93,Undercover of the Night,The Rolling Stones,1984,273.493
94,On the Dark Side,John Cafferty and the Beaver Brown Band,1984,161.826
95,New Moon on Monday,Duran Duran,1984,256.279
96,Major Tom (Coming Home),Peter Schilling,1984,301.373
97,Magic,The Cars,1984,237.093
98,When You Close Your Eyes,Night Ranger,1984,256.506
99,Rock Me Tonite,Billy Squier,1984,297.266
100,Yah Mo B There,James Ingram and Michael McDonald,1984,279.413
1,Careless Whisper,Wham!,1985,299.8
2,Like a Virgin,Madonna,1985,218.626
3,Wake Me Up Before You Go-Go,Wham!,1985,231.333
4,I Want to Know What Love Is,Foreigner,1985,304.786
5,I Feel for You,Chaka Khan,1985,343.4
6,Out of Touch,Daryl Hall & John Oates,1985,249.573
7,Everybody Wants to Rule the World,Tears for Fears,1985,251.488
8,Money for Nothing,Dire Straits,1985,506.4
9,Crazy for You,Madonna,1985,224.32
10,Take On Me,a-ha,1985,225.28
11,Everytime You Go Away,Paul Young,1985,321.573
12,Easy Lover,Philip Bailey and Phil Collins,1985,267.452
13,Can't Fight This Feeling,REO Speedwagon,1985,294.773
14,We Built This City,Starship,1985,296.08
15,The Power of Love,Huey Lewis and the News,1985,234.333
16,Don't You (Forget About Me),Simple Minds,1985,263.04
17,Cherish,Kool & the Gang,1985,238
18,St. Elmo's Fire (Man in Motion),John Parr,1985,251.8
19,The Heat Is On,Glenn Frey,1985,227.8
20,We Are the World,USA for Africa,1985,427.333
21,Shout,Tears for Fears,1985,393.666
22,Part-Time Lover,Stevie Wonder,1985,252.56
23,Saving All My Love for You,Whitney Houston,1985,237.136
24,Heaven,Bryan Adams,1985,243.36
25,Everything She Wants,Wham!,1985,302.693
26,Cool It Now,New Edition,1985,347.666
27,Miami Vice Theme,Jan Hammer,1985,147.6
28,Loverboy,Billy Ocean,1985,249.36
29,Lovergirl,Teena Marie,1985,290.893
30,You Belong to the City,Glenn Frey,1985,352.76
31,Oh Sheila,Ready for the World,1985,240.093
32,Rhythm of the Night,DeBarge,1985,229.106
33,One More Night,Phil Collins,1985,288.973
34,Sea of Love,The Honeydrippers,1985,183.88
35,A View to a Kill,Duran Duran,1985,217.693
36,The Wild Boys,Duran Duran,1985,257.6
37,You're the Inspiration,Chicago,1985,230.736
38,Neutron Dance,The Pointer Sisters,1985,253.413
39,We Belong,Pat Benatar,1985,221.133
40,Nightshift,Commodores,1985,306.56
41,Things Can Only Get Better,Howard Jones,1985,235.146
42,All I Need,Jack Wagner,1985,209.493
43,Freeway of Love,Aretha Franklin,1985,352.093
44,Never Surrender,Corey Hart,1985,295
45,Sussudio,Phil Collins,1985,263.106
46,Strut,Sheena Easton,1985,240.96
47,You Give Good Love,Whitney Houston,1985,276.822
48,The Search Is Over,Survivor,1985,252.613
49,Missing You,Diana Ross,1985,245.346
50,Separate Lives,Phil Collins and Marilyn Martin,1985,256.021
51,Raspberry Beret,Prince & the Revolution,1985,215.173
52,Suddenly,Billy Ocean,1985,234.706
53,The Boys of Summer,Don Henley,1985,288.333
54,One Night in Bangkok,Murray Head,1985,235.226
55,If You Love Somebody Set Them Free,Sting,1985,256.226
56,Obsession,Animotion,1985,337.266
57,We Don't Need Another Hero (Thunderdome),Tina Turner,1985,255.186
58,Material Girl,Madonna,1985,240.28
59,Better Be Good to Me,Tina Turner,1985,310.866
60,Head over Heels,Tears for Fears,1985,257.315
61,Axel F,Harold Faltermeyer,1985,180.866
62,Smooth Operator,Sade,1985,298.893
63,In My House,Mary Jane Girls,1985,302.2
64,Don't Lose My Number,Phil Collins,1985,288.546
65,All Through the Night,Cyndi Lauper,1985,272.84
66,Run to You,Bryan Adams,1985,233.27
67,Glory Days,Bruce Springsteen,1985,254.733
68,Voices Carry,'Til Tuesday,1985,263.573
69,Misled,Kool & the Gang,1985,300.733
70,Would I Lie to You?,Eurythmics,1985,268.24
71,Be Near Me,ABC,1985,219.826
72,No More Lonely Nights,Paul McCartney,1985,312.733
73,I Can't Hold Back,Survivor,1985,238.8
74,Summer of '69,Bryan Adams,1985,216.053
75,Walking on Sunshine,Katrina and the Waves,1985,238.733
76,Freedom,Wham!,1985,302.2
77,Too Late for Goodbyes,Julian Lennon,1985,214.645
78,Valotte,Julian Lennon,1985,257.04
79,Some Like It Hot,The Power Station,1985,305.466
80,Solid,Ashford & Simpson,1985,312
81,Angel,Madonna,1985,236.133
82,I'm on Fire,Bruce Springsteen,1985,155.88
83,Method of Modern Love,Daryl Hall & John Oates,1985,333.933
84,Lay Your Hands on Me,Thompson Twins,1985,260.972
85,Who's Holding Donna Now,DeBarge,1985,267.733
86,Lonely Ol' Night,John Cougar Mellencamp,1985,225.173
87,What About Love,Heart,1985,221.67
88,California Girls,David Lee Roth,1985,171.826
89,Fresh,Kool & the Gang,1985,266.56
90,Do What You Do,Jermaine Jackson,1985,288.72
91,Jungle Love,The Time,1985,333.36
92,Born in the U.S.A.,Bruce Springsteen,1985,241.306
93,Private Dancer,Tina Turner,1985,242.48
94,Who's Zoomin' Who?,Aretha Franklin,1985,284.506
95,Fortress Around Your Heart,Sting,1985,279.693
96,Penny Lover,Lionel Richie,1985,335.173
97,All She Wants to Do Is Dance,Don Henley,1985,269.985
98,Dress You Up,Madonna,1985,242.24
99,Sentimental Street,Night Ranger,1985,253.733
100,Sugar Walls,Sheena Easton,1985,241.6
1,That's What Friends Are For,"Dionne and Friends (Dionne Warwick, Gladys Knight, Elton John and Stevie Wonder)",1986,255.933
2,"Say You, Say Me",Lionel Richie,1986,241.066
3,I Miss You,Klymaxx,1986,333.266
4,On My Own,Patti LaBelle and Michael McDonald,1986,280.653
5,Broken Wings,Mr. Mister,1986,343.933
6,How Will I Know,Whitney Houston,1986,269.696
7,Party All the Time,Eddie Murphy,1986,253.293
8,Burning Heart,Survivor,1986,230.72
9,Kyrie,Mr. Mister,1986,265.84
10,Addicted to Love,Robert Palmer,1986,350.253
11,The Greatest Love of All,Whitney Houston,1986,296.6
12,Secret Lovers,Atlantic Starr,1986,330.666
13,Friends and Lovers,Gloria Loring and Carl Anderson,1986,226.56
14,Glory of Love,Peter Cetera,1986,258.333
15,West End Girls,Pet Shop Boys,1986,240.453
16,There'll Be Sad Songs (To Make You Cry),Billy Ocean,1986,292.68
17,Alive and Kicking,Simple Minds,1986,289.453
18,Never,Heart,1986,246.611
19,Kiss,Prince and The Revolution,1986,226.24
20,Higher Love,Steve Winwood,1986,351.506
21,Stuck with You,Huey Lewis and the News,1986,269.573
22,Holding Back the Years,Simply Red,1986,252.293
23,Sledgehammer,Peter Gabriel,1986,295.653
24,Sara,Starship,1986,292.8
25,Human,The Human League,1986,265.32
26,I Can't Wait,Nu Shooz,1986,326.506
27,Take My Breath Away,Berlin,1986,255.733
28,Rock Me Amadeus,Falco,1986,202.236
29,Papa Don't Preach,Madonna,1986,268.533
30,You Give Love a Bad Name,Bon Jovi,1986,222.706
31,"When the Going Gets Tough, the Tough Get Going",Billy Ocean,1986,248
32,When I Think of You,Janet Jackson,1986,235.493
33,These Dreams,Heart,1986,254.476
34,Don't Forget Me (When I'm Gone),Glass Tiger,1986,248.2
35,Live to Tell,Madonna,1986,351.92
36,Mad About You,Belinda Carlisle,1986,216.56
37,Something About You,Level 42,1986,265
38,Venus,Bananarama,1986,229.164
39,Dancing on the Ceiling,Lionel Richie,1986,270.72
40,Conga,Miami Sound Machine,1986,254
41,True Colors,Cyndi Lauper,1986,227.6
42,Danger Zone,Kenny Loggins,1986,215.133
43,What Have You Done For Me Lately,Janet Jackson,1986,299.493
44,No One Is to Blame,Howard Jones,1986,255.813
45,Let's Go All the Way,Sly Fox,1986,239.106
46,I Didn't Mean to Turn You On,Robert Palmer,1986,224.8
47,Words Get in the Way,Miami Sound Machine,1986,205.64
48,Manic Monday,The Bangles,1986,184.16
49,Walk of Life,Dire Straits,1986,252.466
50,Amanda,Boston,1986,256.2
51,Two of Hearts,Stacey Q,1986,239.693
52,Crush on You,The Jets,1986,271.266
53,If You Leave,Orchestral Manoeuvres in the Dark,1986,269.8
54,Invisible Touch,Genesis,1986,208.213
55,The Sweetest Taboo,Sade,1986,276.64
56,What You Need,INXS,1986,214
57,Talk to Me,Stevie Nicks,1986,250.026
58,Nasty,Janet Jackson,1986,243.133
59,Take Me Home Tonight,Eddie Money,1986,211.16
60,We Don't Have to Take Our Clothes Off,Jermaine Stewart,1986,293.24
61,All Cried Out,Lisa Lisa and Cult Jam,1986,284.973
62,Your Love,The Outfield,1986,221.84
63,I'm Your Man,Wham!,1986,243.093
64,Perfect Way,Scritti Politti,1986,284.12
65,Living in America,James Brown,1986,282.84
66,R.O.C.K. in the U.S.A.,John Cougar Mellencamp,1986,174.36
67,Who's Johnny,El DeBarge,1986,248.466
68,Word Up!,Cameo,1986,260
69,Why Can't This Be Love,Van Halen,1986,227.693
70,Silent Running (On Dangerous Ground),Mike + The Mechanics,1986,346.613
71,Typical Male,Tina Turner,1986,256.826
72,Small Town,John Cougar Mellencamp,1986,221.626
73,Tarzan Boy,Baltimora,1986,378.946
74,All I Need Is a Miracle,Mike + The Mechanics,1986,252.426
75,Sweet Freedom,Michael McDonald,1986,459.906
76,True Blue,Madonna,1986,257.466
77,Rumors,Timex Social Club,1986,288.554
78,Life in a Northern Town,Dream Academy,1986,259.293
79,Bad Boy,Miami Sound Machine,1986,235.506
80,Sleeping Bag,ZZ Top,1986,242.333
81,Tonight She Comes,The Cars,1986,236.733
82,Love Touch,Rod Stewart,1986,243.573
83,A Love Bizarre,Sheila E.,1986,738.053
84,Throwing It All Away,Genesis,1986,230.533
85,Baby Love,Regina,1986,217.586
86,Election Day,Arcadia,1986,329.106
87,Nikita,Elton John,1986,343.24
88,Take Me Home,Phil Collins,1986,353.573
89,Walk This Way,Runâ€“D.M.C. featuring Aerosmith,1986,220.179
90,Sweet Love,Anita Baker,1986,266.173
91,Your Wildest Dreams,Moody Blues,1986,291
92,Spies Like Us,Paul McCartney,1986,287.906
93,Object of My Desire,Starpoint,1986,306.453
94,Dreamtime,Daryl Hall,1986,285.093
95,Tender Love,Force MDs,1986,234.053
96,King for a Day,Thompson Twins,1986,318.146
97,Love Will Conquer All,Lionel Richie,1986,340.986
98,A Different Corner,George Michael,1986,243.533
99,I'll Be Over You,Toto,1986,229.88
100,Go Home,Stevie Wonder,1986,318.04
1,Walk Like An Egyptian,The Bangles,1987,204.706
2,Alone,Heart,1987,218.733
3,Shake You Down,Gregory Abbott,1987,245.413
4,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,291.293
5,Nothing's Gonna Stop Us Now,Starship,1987,270.333
6,C'est La Vie,Robbie Nevil,1987,270.306
7,Here I Go Again,Whitesnake,1987,275.395
8,The Way It Is,Bruce Hornsby and the Range,1987,297.853
9,Shakedown,Bob Seger,1987,241.946
10,Livin' on a Prayer,Bon Jovi,1987,249.293
11,La Bamba,Los Lobos,1987,174.186
12,Everybody Have Fun Tonight,Wang Chung,1987,287.36
13,Don't Dream It's Over,Crowded House,1987,236.933
14,Always,Atlantic Starr,1987,286.973
15,With or Without You,U2,1987,296.226
16,Looking for a New Love,Jody Watley,1987,242.4
17,Head to Toe,Lisa Lisa and Cult Jam,1987,303.266
18,I Think We're Alone Now,Tiffany,1987,228.84
19,Mony Mony,Billy Idol,1987,301.4
20,At This Moment,Billy Vera and the Beaters,1987,234.507
21,The Lady in Red,Chris de Burgh,1987,256.487
22,Didn't We Almost Have It All,Whitney Houston,1987,305.066
23,I Still Haven't Found What I'm Looking For,U2,1987,277.476
24,I Want Your Sex,George Michael,1987,557.293
25,Notorious,Duran Duran,1987,258.546
26,Only in My Dreams,Debbie Gibson,1987,233.4
27,(I've Had) The Time of My Life,Bill Medley and Jennifer Warnes,1987,251.193
28,The Next Time I Fall,Peter Cetera and Amy Grant,1987,216.306
29,Lean on Me,Club Nouveau,1987,357.333
30,Open Your Heart,Madonna,1987,229.28
31,Lost in Emotion,Lisa Lisa and Cult Jam,1987,307.6
32,(I Just) Died In Your Arms,Cutting Crew,1987,280.4
33,Heart and Soul,T'Pau,1987,256.373
34,You Keep Me Hangin' On,Kim Wilde,1987,255.22
35,Keep Your Hands to Yourself,Georgia Satellites,1987,205
36,I Knew You Were Waiting (For Me),Aretha Franklin and George Michael,1987,238.075
37,Control,Janet Jackson,1987,353.306
38,U Got the Look,Prince,1987,226.079
39,Somewhere Out There,Linda Ronstadt and James Ingram,1987,234.763
40,Land of Confusion,Genesis,1987,286.226
41,Jacob's Ladder,Huey Lewis and the News,1987,213.76
42,Who's That Girl,Madonna,1987,239.173
43,You Got It All,The Jets,1987,250.933
44,Touch Me (I Want Your Body),Samantha Fox,1987,222.133
45,I Just Can't Stop Loving You,Michael Jackson with Siedah Garrett,1987,252.52
46,Causing a Commotion,Madonna,1987,261.666
47,In Too Deep,Genesis,1987,296.92
48,Let's Wait Awhile,Janet Jackson,1987,277.4
49,Hip to Be Square,Huey Lewis and the News,1987,245.466
50,Will You Still Love Me?,Chicago,1987,343.533
51,Little Lies,Fleetwood Mac,1987,218.04
52,Luka,Suzanne Vega,1987,231.933
53,I Heard A Rumour,Bananarama,1987,204.335
54,Don't Mean Nothing,Richard Marx,1987,281.533
55,Songbird,Kenny G,1987,303.333
56,Carrie,Europe,1987,272.133
57,Don't Disturb This Groove,The System,1987,317.874
58,La Isla Bonita,Madonna,1987,242.733
59,Bad,Michael Jackson,1987,246.24
60,Sign o' the Times,Prince,1987,296.497
61,Change of Heart,Cyndi Lauper,1987,264.773
62,Come Go with Me,Exposé,1987,257.826
63,Can't We Try,Dan Hill featuring Vonda Shepard,1987,368.96
64,To Be a Lover,Billy Idol,1987,232.386
65,Mandolin Rain,Bruce Hornsby and the Range,1987,318.946
66,Breakout,Swing Out Sister,1987,226.453
67,Stand by Me,Ben E. King,1987,180.055
68,"Tonight, Tonight, Tonight",Genesis,1987,268.306
69,Someday,Glass Tiger,1987,217.733
70,When Smokey Sings,ABC,1987,259.293
71,Casanova,LeVert,1987,262.373
72,Rhythm Is Gonna Get You,Gloria Estefan and Miami Sound Machine,1987,234.973
73,Rock Steady,The Whispers,1987,243.706
74,Wanted Dead or Alive,Bon Jovi,1987,308.666
75,Big Time,Peter Gabriel,1987,265.106
76,The Finer Things,Steve Winwood,1987,251.2
77,Let Me Be the One,Exposé,1987,260.013
78,Is This Love,Survivor,1987,222.56
79,Diamonds,Herb Alpert,1987,293.866
80,Point of No Return,Exposé,1987,207.866
81,Big Love,Fleetwood Mac,1987,218.84
82,Midnight Blue,Lou Gramm,1987,234.693
83,Something So Strong,Crowded House,1987,171.573
84,Heat of the Night,Bryan Adams,1987,307
85,Nothing's Gonna Change My Love for You,Glenn Medeiros,1987,231.586
86,Brilliant Disguise,Bruce Springsteen,1987,254.84
87,Just to See Her,Smokey Robinson,1987,244.026
88,Who Will You Run To,Heart,1987,246.4
89,Respect Yourself,Bruce Willis,1987,231.56
90,Cross My Broken Heart,The Jets,1987,247.4
91,Victory,Kool & the Gang,1987,278.293
92,Don't Get Me Wrong,The Pretenders,1987,227.626
93,Doing It All for My Baby,Huey Lewis and the News,1987,219.866
94,Right on Track,Breakfast Club,1987,256.946
95,Ballerina Girl,Lionel Richie,1987,217.826
96,Meet Me Half Way,Kenny Loggins,1987,219.533
97,I've Been in Love Before,Cutting Crew,1987,308.133
98,(You Gotta) Fight for Your Right (To Party!),Beastie Boys,1987,210.386
99,Funkytown,Pseudo Echo,1987,291.392
100,Love You Down,Ready for the World,1987,391.066
1,Faith,George Michael,1988,193.2
2,Need You Tonight,INXS,1988,180.517
3,Got My Mind Set on You,George Harrison,1988,234.653
4,Never Gonna Give You Up,Rick Astley,1988,213.573
5,Sweet Child o' Mine,Guns N' Roses,1988,356.066
6,So Emotional,Whitney Houston,1988,276.666
7,Heaven Is a Place on Earth,Belinda Carlisle,1988,233.666
8,Could've Been,Tiffany,1988,212.693
9,Hands to Heaven,Breathe,1988,259.506
10,Roll with It,Steve Winwood,1988,320.733
11,One More Try,George Michael,1988,350.666
12,Wishing Well,Terence Trent D'Arby,1988,210.466
13,Anything for You,Gloria Estefan and Miami Sound Machine,1988,221.866
14,The Flame,Cheap Trick,1988,338.8
15,"Get Outta My Dreams, Get into My Car",Billy Ocean,1988,284.373
16,Seasons Change,Exposé,1988,292.533
17,Is This Love,Whitesnake,1988,284.496
18,"Wild, Wild West",The Escape Club,1988,244.826
19,Pour Some Sugar on Me,Def Leppard,1988,267.306
20,I'll Always Love You,Taylor Dayne,1988,270.786
21,Man in the Mirror,Michael Jackson,1988,319.306
22,Shake Your Love,Debbie Gibson,1988,222.933
23,Simply Irresistible,Robert Palmer,1988,255.093
24,Hold On to the Nights,Richard Marx,1988,316.04
25,Hungry Eyes,Eric Carmen,1988,247.32
26,Shattered Dreams,Johnny Hates Jazz,1988,209.96
27,Father Figure,George Michael,1988,340.36
28,Naughty Girls (Need Love Too),Samantha Fox,1988,310.386
29,A Groovy Kind of Love,Phil Collins,1988,210.346
30,Love Bites,Def Leppard,1988,346.96
31,Endless Summer Nights,Richard Marx,1988,270.693
32,Foolish Beat,Debbie Gibson,1988,262.413
33,Where Do Broken Hearts Go,Whitney Houston,1988,277.6
34,Angel,Aerosmith,1988,308.906
35,A Hazy Shade of Winter,The Bangles,1988,165.6
36,The Way You Make Me Feel,Michael Jackson,1988,298.12
37,"Don't Worry, Be Happy",Bobby McFerrin,1988,294.4
38,Make Me Lose Control,Eric Carmen,1988,285.946
39,Red Red Wine,UB40,1988,183.733
40,She's Like the Wind,Patrick Swayze featuring Wendy Fraser,1988,149.054
41,Bad Medicine,Bon Jovi,1988,316.706
42,Kokomo,The Beach Boys,1988,217.692
43,I Don't Wanna Go on with You Like That,Elton John,1988,275.373
44,Together Forever,Rick Astley,1988,205.533
45,Monkey,George Michael,1988,306.12
46,Devil Inside,INXS,1988,314.607
47,Should've Known Better,Richard Marx,1988,250.24
48,I Don't Wanna Live Without Your Love,Chicago,1988,234.466
49,The Loco-Motion,Kylie Minogue,1988,193.54
50,What Have I Done to Deserve This?,Pet Shop Boys with Dusty Springfield,1988,263.24
51,Make It Real,The Jets,1988,257.066
52,What's On Your Mind (Pure Energy),Information Society,1988,275.533
53,Tell It to My Heart,Taylor Dayne,1988,220.88
54,Out of the Blue,Debbie Gibson,1988,233.333
55,Don't You Want Me,Jody Watley,1988,253.6
56,Desire,U2,1988,179.36
57,I Get Weak,Belinda Carlisle,1988,292.293
58,Sign Your Name,Terence Trent D'Arby,1988,276.533
59,I Want to Be Your Man,Roger,1988,249.866
60,Girlfriend,Pebbles,1988,256.493
61,Dirty Diana,Michael Jackson,1988,280.6
62,1/2/2003,Gloria Estefan and Miami Sound Machine,1988,244
63,Mercedes Boy,Pebbles,1988,295.893
64,Perfect World,Huey Lewis and the News,1988,247
65,New Sensation,INXS,1988,219.813
66,Catch Me (I'm Falling),Pretty Poison,1988,295.226
67,If It Isn't Love,New Edition,1988,309.84
68,Rocket 2 U,The Jets,1988,258.093
69,One Good Woman,Peter Cetera,1988,277.973
70,Don't Be Cruel,Cheap Trick,1988,187.2
71,Candle in the Wind,Elton John,1988,228.932
72,Everything Your Heart Desires,Daryl Hall & John Oates,1988,300.466
73,Say You Will,Foreigner,1988,255.266
74,I Want Her,Keith Sweat,1988,221.4
75,Pink Cadillac,Natalie Cole,1988,268.666
76,Fast Car,Tracy Chapman,1988,296.8
77,Electric Blue,Icehouse,1988,263.68
78,The Valley Road,Bruce Hornsby and the Range,1988,282.293
79,Don't Be Cruel,Bobby Brown,1988,408.306
80,Always on My Mind,Pet Shop Boys,1988,237.653
81,Piano in the Dark,Brenda Russell featuring Joe Esposito,1988,401.36
82,When It's Love,Van Halen,1988,339.84
83,Don't Shed a Tear,Paul Carrack,1988,295.426
84,We'll Be Together,Sting,1988,295.56
85,I Hate Myself for Loving You,Joan Jett and the Blackhearts,1988,246.8
86,I Don't Want to Live Without You,Foreigner,1988,237.693
87,Nite and Day,Al B. Sure!,1988,238.013
88,Don't You Know What the Night Can Do?,Steve Winwood,1988,415.333
89,One Moment in Time,Whitney Houston,1988,285
90,Can't Stay Away from You,Gloria Estefan and Miami Sound Machine,1988,235.76
91,Kissing a Fool,George Michael,1988,275.333
92,Cherry Bomb,John Cougar Mellencamp,1988,287.106
93,I Still Believe,Brenda K. Starr,1988,232.4
94,I Found Someone,Cher,1988,223.16
95,Never Tear Us Apart,INXS,1988,185.694
96,Valerie,Steve Winwood,1988,246.666
97,Just Like Paradise,David Lee Roth,1988,243.28
98,Nothin' but a Good Time,Poison,1988,224.866
99,Wait,White Lion,1988,240.8
100,Prove Your Love,Taylor Dayne,1988,206.186
1,Look Away,Chicago,1989,240.653
2,My Prerogative,Bobby Brown,1989,291.56
3,Every Rose Has Its Thorn,Poison,1989,260.224
4,Straight Up,Paula Abdul,1989,251.466
5,Miss You Much,Janet Jackson,1989,252.333
6,Cold Hearted,Paula Abdul,1989,231.4
7,Wind Beneath My Wings,Bette Midler,1989,293.853
8,Girl You Know It's True,Milli Vanilli,1989,198.573
9,"Baby, I Love Your Way/Freebird Medley",Will to Power,1989,238.25
10,Giving You the Best That I Got,Anita Baker,1989,260.506
11,Right Here Waiting,Richard Marx,1989,264.333
12,Waiting For a Star to Fall,Boy Meets Girl,1989,270.72
13,Lost in Your Eyes,Debbie Gibson,1989,215.146
14,Don't Wanna Lose You,Gloria Estefan,1989,250.066
15,Heaven,Warrant,1989,236.866
16,Girl I'm Gonna Miss You,Milli Vanilli,1989,264.426
17,The Look,Roxette,1989,237.32
18,She Drives Me Crazy,Fine Young Cannibals,1989,215.773
19,On Our Own,Bobby Brown,1989,294.413
20,Two Hearts,Phil Collins,1989,204.253
21,Blame It on the Rain,Milli Vanilli,1989,248.533
22,Listen to Your Heart,Roxette,1989,328.093
23,I'll Be There for You,Bon Jovi,1989,346.586
24,If You Don't Know Me by Now,Simply Red,1989,204
25,Like a Prayer,Madonna,1989,342.68
26,I'll Be Loving You (Forever),New Kids on the Block,1989,263.933
27,How Can I Fall?,Breathe,1989,284.36
28,Baby Don't Forget My Number,Milli Vanilli,1989,249.64
29,Toy Soldiers,Martika,1989,287.6
30,Forever Your Girl,Paula Abdul,1989,300.466
31,The Living Years,Mike + The Mechanics,1989,330.266
32,Eternal Flame,The Bangles,1989,238.026
33,Wild Thing,Tone Loc,1989,263.573
34,When I See You Smile,Bad English,1989,257.44
35,If I Could Turn Back Time,Cher,1989,239.826
36,Buffalo Stance,Neneh Cherry,1989,342.36
37,When I'm with You,Sheriff,1989,238.04
38,Don't Rush Me,Taylor Dayne,1989,228
39,Born to Be My Baby,Bon Jovi,1989,280.106
40,Good Thing,Fine Young Cannibals,1989,201.866
41,The Lover in Me,Sheena Easton,1989,301.373
42,Bust a Move,Young MC,1989,263.914
43,"Once Bitten, Twice Shy",Great White,1989,322.896
44,Batdance,Prince,1989,373.733
